Event ID,,CompareVal,In_4010,Event Description,SNIP Level,Severity,Transaction Version,Transaction ID,ID,UPath,Name,Removed in 5010 Errata,#
3.94E+04,0x39392E0,39392E0_837,,Element PAT07 is missing. It is required when Medicare claim involves DME form [emp.ec_DepE_DVal]. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{,7,Error,005010X222,837,PAT07,"Transaction/Loop(ID=""2000B"")/Segment(ID=""PAT"")/Element(ID=""355"")",Unit or Basis for Measurement Code,,4418
3.94E+04,0x39392E0,39392E0_837,,Element PAT08 is missing. It is required when Medicare claim involves DME form [emp.ec_DepE_DVal]. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{,7,Error,005010X222,837,PAT08,"Transaction/Loop(ID=""2000B"")/Segment(ID=""PAT"")/Element(ID=""81"")",Weight,,4420
3.94E+04,0x39392E0,39392E0_837,,Element PAT07 is missing. It is required when Medicare claim involves DME form [emp.ec_DepE_DVal]. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{,7,Error,005010X222,837,PAT07,"Transaction/Loop(ID=""2000C"")/Segment(ID=""PAT"")/Element(ID=""355"")",Unit or Basis for Measurement Code,,4494
3.94E+04,0x39392E0,39392E0_837,,Element PAT08 is missing. It is required when Medicare claim involves DME form [emp.ec_DepE_DVal]. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{,7,Error,005010X222,837,PAT08,"Transaction/Loop(ID=""2000C"")/Segment(ID=""PAT"")/Element(ID=""81"")",Weight,,4497
3.94E+05,0x39392E1,39392E1_270,,"If present, must be 1 or 2 or error message ""Entity Type Qualifier Must Be 1 Or 2"" will display. incorrect.",2,Warning,005010X279,270,NM104,Transaction(ID = '270')[1]/Loop(ID = '2000A')[1]/Loop(ID = '2100A')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,9
3.94E+05,0x39392E1,39392E1_271,,Element NM104 is missing. It is recommended to be used when Information Source is a person (NM102='1').,2,Warning,005010X279A1,271,NM104,/Transaction(ID = '271')/Loop(ID = '2000A')/Loop(ID = '2100A')/Segment(ID = 'NM1')/Element(ID = '1036'),Name First,FALSE,1036
3.94E+05,0x39392E1,39392E1_834,,Element NM104 is missing. It is recommended to be used when Member is a person (NM102='1').,2,Warning,005010X220,834,NM104,Transaction(ID = '834')[1]/Loop(ID = '2000')[1]/Loop(ID = '2100A')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,3229
3.94E+05,0x39392E1,39392E1_834,,Element NM104 is missing. It is recommended to be used when Member is a person (NM102='1').,2,Warning,005010X220,834,NM104,Transaction(ID = '834')[1]/Loop(ID = '2000')[1]/Loop(ID = '2100B')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,3305
3.94E+05,0x39392E1,39392E1_834,,Element NM104 is missing. It is recommended to be used when Member Employer is a person (NM102='1').,2,Warning,005010X220,834,NM104,Transaction(ID = '834')[1]/Loop(ID = '2000')[1]/Loop(ID = '2100D')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,3336
3.94E+05,0x39392E1,39392E1_834,,Element NM104 is missing. It is recommended to be used when Responsible Party is a person (NM102='1').,2,Warning,005010X220,834,NM104,Transaction(ID = '834')[1]/Loop(ID = '2000')[1]/Loop(ID = '2100G')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,3466
