Rejection Checked,Rejection Found,Row #,FormattedAccuracy,ErrorCode
"If present, must be 1 or 2 or error message ""Entity Type Qualifier Must Be 1 Or 2"" will display.

01/12/2009-DMC-Created per Protrac 2008296010.
08/20/2010-CLM-Removed Medicare from this edit. Protrac 2010228015
2012009032 - 01/10/2012 - slc - moved arcaid & comm to edit 2740
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of element PS101 is incorrect. It must match corresponding Purchased Service Provider Identifier in REF02 or NM109 in 2420B loop. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{b,1,41%,0x3939421
"Submitter Type Qualifier (1000A NM102) must be present and must equal 1 or 2.

08/20/2010-CLM-Created new edit for Medicare only, after removing Medicare from edit 1939. Protrac 2010228015
2010316003 - 11/19/2010 - fmb - added mpa
2012009032 - 01/10/2012 - slc - added arcaid & comm
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] is incorrect. Expected value must be the same as that reported in [emp.ec_DepSE_G_ID_2][emp.ec_DepSE_G_POS_1]-[emp.ec_DepSE_G_POS_0]. Segment [dpe.rec.gdl.id] is defined in the guideline a,2,31%,0x3939668
"Submitter Name (1000A NM103) must be present, must contain valid characters BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"", and cannot exceed max length of 60 characters.

08/20/2010-CLM-Created new edit for Medicare only. Protrac 2010228015
2010316003 - 11/19/2010 - fmb - added MPA and updated documentation
2011115007 - 04/28/2011 - slc - added COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element  BPR02 is incorrect. Its value should be to a maximum length of 10 characters including reported or implied places for cents (implied value of 00 after the decimal point).,3,23%,0x39393D5
"When Submitter Type Qualifier (1000A NM102) is present, Submitter First Name(1000A NM104) cannot be present.
When Submitter First Name is present, it must contain valid characters VALID_NAME_CHARS_SHT ""A-Z,'-',' ','.'"" and cannot be longer than 35 characters.

08/20/2010-CLM-Created new edit for Medicare only. Protrac 2010228015
2010316003 - 11/19/2010 - fmb - added MPA and updated documentation
2011115007 - 04/28/2011 - slc - added COMM & ARCAID
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Element NM104 is missing. It is recommended to be used when Submitter is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{br}{,4,26%,0x39392E1
"When Submitter Type Qualifier (1000A NM102) is 2, Submitter Middle Name (1000A NM105) cannot be present.
When Submitter Middle Name (1000A NM105) is present, it must contain valid characters VALID_NAME_CHARS_SHT ""A-Z,'-',' ','.'"" and cannot exceed max length of 25 characters.
If this is a Medicare or MediPak Advantage claim, and the Submitter Middle name (1000A NM105) is present and contains a non-alpha character in first position, the claim will reject.


08/20/2010-CLM-Created new edit for Medicare only. Protrac 2010228015
2010316003 - 11/19/2010 - fmb - updated to include MPA and updated documentation
2011115007 - 04/28/2011 - slc - added COMM & ARCAID
2013064014 - 03/08/2013 - dmc - added alpha required as first character.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment DTP (Date - Property and Casualty Date of First Contact) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}Th,5,25%,0x3938B52
"The Submitter Id (1000A NM109) must be present, not ""-"", Alphanumeric, and less than 81 characters. The first position of the Submitter Id must be C, E or L.(this field is not editable from gui)

The Payer Organization Id (1000B NM109) and the Submitter Id (1000A NM109) combination must be valid.

08/23/2010-CLM-Updated Medicare edit. Protrac 2010228015
2010316003 - 11/22/2010 - fmb - updated documentation
2011180008 - 08/23/2011 - slc - removed logic for all except AR & LA Medicare since they are the only ones we accept.
2012009032 - 01/10/2012 - slc - moved Medipak Advantage to edit 1746 so Dakota can be accepted, this edit is Medicare only.
2012139015 - 07/02/2012 - slc - add 07102 as valid payer number for med b.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline
2014027029 - 02/03/2014 - slc - updated for C submitters.
2014027028 - 02/10/2014 - slc - updated to allow ok mc part b for c submitters.
2014052027 - 02/21/2014 - slc - fix uninitialized variable num2
2014057030 - 03/04/2014 - slc - added remaining medicare JH
2014080026 - 03/21/2014 - slc - needs to still accept 00520 for AR Medicare",Segment DTP (Date - Property and Casualty Date of First Contact) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}Th,6,39%,0x3938B52
"Submitter Id must begin with ""X"", ""U"", or ""E"" and be 5 characters long.
For Commercial, Submitter Id can begin with ""C"".

If a file is received from E4798 (ABCBS Health Stat Employee Clinic) and the pay to NPI is not equal to 1326340944 or 1124493523, reject the claim in AHIN.  If a file is receved from E5905  (BA Pace Health Stat) and the NPI is equal to 1326340944 or 1124493523, reject these claims in AHIN.
If a file is receved from E2657  (Childrens Hospital Health Stat) and the NPI is not equal to 1295113959, reject these claims in AHIN.


11/10/2006-CLM-Changed msg for ""X"" not length of 5.
06/05/2008-CLM-2008098026 - Added Medicaid and Commercial.
2010316003 - 11/22/2010 - fmb - removed MPA, added them to 1745
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2014013034 - 01/14/2014 - slc - added C allowed for Commercial
2014027029 - 01/28/2014 - slc - adjusted to use isCOMMERCIAL proc since medicaid commercial claims use the ARCAID script.
2014183008 - 09/18/2014 - rmt - allow U submitter numbers
2014330014 - 12/04/2014 - rmt - reject Pace or HealthStat claims that have invalid NPI/Submitter combinations
2015197016 - 09/17/2015 - rmt - add Childrens Hospital HealthStat Clinic
2015324016 - 11/20/2015 - rmt - update ACH HealthStat npi
2017353040 - 12/20/2017 - slc - added npi for HealthStat Clinic",Value of element BHT03 (Beginning of Hierarchical Transaction) is incorrect. Expected value is up to 30 characters. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count,7,30%,0x3939383
"A secondary Submitter Contact Name (1000A PER02, second iteration) is not allowed.

08/23/2010-CLM-Created new edit for Medicare only. Protrac 2010228015
2010316003 - 11/22/2010 - fmb - added MPA, updated documentation
2011115007 - 04/28/2011 - slc - added COMM & ARCAID
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element SBR01 is incorrect. Secondary payer is not specified (elements SBR01 in loops 2000B/2320 do not have 'S' value). It is expected to be used when tertiary payers are known to be involved. Segment [dpe.rec.gdl.id] is defined in the guideline,8,42%,0x3939461
"Receiver Name (1000B NM103) must be present, must contain valid characters (BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''""), and cannot exceed 60 characters in length.

08/24/2010-CLM-Created new Medicare edit. Protrac 2010228015
2010316003 - 11/29/2010 - fmb - updated documentation
2011115007 - 04/28/2011 - slc - added COMM & ARCAID
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Element PER03 is missing. Either PER02 must be used or PER03 and PER04 must be used when PER segment is used.,9,24%,0x393944E
"REJECT CLAIM WITH INVALID CARRIER NUMBER IN THE 1000B, NM109.

2011118010 - 2011/08/29 - slc - remove all except AR & LA rcvr ids previous list was ""00520,00521,00522,00523,00524,00528""
2012139015 - 07/02/2012 - slc - add 07102 as allowed value for receiver id.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline
2014027028 - 02/11/2014 - slc - added 04312 to list.
2014057030 - 03/04/2014 - slc - added medicare JH to list",Value of element N104 is incorrect. Expected value is from external code list - D-U-N-S Number with Four Character Suffix (16) when N103='9'.,10,38%,0x3939326
