Rejection Checked,Rejection Found,Row #,FormattedAccuracy,ErrorCode
"If present, must be 1 or 2 or error message ""Entity Type Qualifier Must Be 1 Or 2"" will display.",Value of element PS101 is incorrect. It must match corresponding Purchased Service Provider Identifier in REF02 or NM109 in 2420B loop. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{b,1,50%,0x3939421
Submitter Type Qualifier (1000A NM102) must be present and must equal 1 or 2.,Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] is incorrect. Expected value must be the same as that reported in [emp.ec_DepSE_G_ID_2][emp.ec_DepSE_G_POS_1]-[emp.ec_DepSE_G_POS_0]. Segment [dpe.rec.gdl.id] is defined in the guideline a,2,36%,0x3939668
"Submitter Name (1000A NM103) must be present, must contain valid characters BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"", and cannot exceed max length of 60 characters.",Value of element  BPR02 is incorrect. Its value should be to a maximum length of 10 characters including reported or implied places for cents (implied value of 00 after the decimal point).,3,23%,0x39393D5
"When Submitter Type Qualifier (1000A NM102) is present, Submitter First Name(1000A NM104) cannot be present.
When Submitter First Name is present, it must contain valid characters VALID_NAME_CHARS_SHT ""A-Z,'-',' ','.'"" and cannot be longer than 35 characters.",Element NM104 is missing. It is recommended to be used when Submitter is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{br}{,4,26%,0x39392E1
"When Submitter Type Qualifier (1000A NM102) is 2, Submitter Middle Name (1000A NM105) cannot be present.
When Submitter Middle Name (1000A NM105) is present, it must contain valid characters VALID_NAME_CHARS_SHT ""A-Z,'-',' ','.'"" and cannot exceed max length of 25 characters.
If this is a Medicare or MediPak Advantage claim, and the Submitter Middle name (1000A NM105) is present and contains a non-alpha character in first position, the claim will reject.",Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. Value '[dpe.dat.vl]' can be used only when the member's age is between 19 and 25. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected,5,28%,0x3939439
"The Submitter Id (1000A NM109) must be present, not ""-"", Alphanumeric, and less than 81 characters. The first position of the Submitter Id must be C, E or L.(this field is not editable from gui)",Segment CRC is used. The second occurrence of CRC segment should not be used unless the first is full. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.dc]{br}{tab}Ch,6,46%,0x3938B6B
"Submitter Id must begin with ""X"", ""U"", or ""E"" and be 5 characters long.
For Commercial, Submitter Id can begin with ""C"".",Value of element BHT03 (Beginning of Hierarchical Transaction) is incorrect. Expected value is up to 30 characters. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count,7,33%,0x3939383
"A secondary Submitter Contact Name (1000A PER02, second iteration) is not allowed.",Value of element SBR01 is incorrect. Secondary payer is not specified (elements SBR01 in loops 2000B/2320 do not have 'S' value). It is expected to be used when tertiary payers are known to be involved. Segment [dpe.rec.gdl.id] is defined in the guideline,8,42%,0x3939461
"Receiver Name (1000B NM103) must be present, must contain valid characters (BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''""), and cannot exceed 60 characters in length.",Element PER03 is missing. Either PER02 must be used or PER03 and PER04 must be used when PER segment is used.,9,24%,0x393944E
"REJECT CLAIM WITH INVALID CARRIER NUMBER IN THE 1000B, NM109.",Value of element REF02 (Line Item Control Number) has been already used in loop 2300. Line Item Control Numbers are expected to have unique values within loop 2300. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br},10,40%,0x3939420
"If present, Taxonomy Code (2000A PRV03) must be a valid code on the Statement Date. Statement Date range is derived from the earliest Service Date (2400 DTP03) to the latest Service Date on the claim.
If 2000A loop is present, Taxonomy Code is required.","Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. The value seems to be a local code from external code list 130 - HCPCS, Level III. According to HIPAA regulations, local codes should not be used after compliance date. Segment [dpe.rec.gdl.id] i",11,47%,0x393934B
"If present, must be a 1 or 2 or error message ""Entity Type Qualifier Must Be 1 Or 2"" will display.",Value of element PS101 is incorrect. It must match corresponding Purchased Service Provider Identifier in REF02 or NM109 in 2420B loop. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{b,12,52%,0x3939421
The LOB required ref segment qualifier can only be present 1 time in the 2010AA Billing Provider Loop.,Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,13,56%,0x3938B78
"If the Billing Provider last name (or organization name) (2010AA NM103) is not present, the claim will reject.
If the Billing Provider last name (or organization name) (2010AA NM103) contains invalid characters, or is longer in length than 60 characters, the claim will reject.",Loop 2420D (Ordering Provider Name) is used. It should not be used when loop 2010AA is used with the same information. Loop [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.d,14,40%,0x3938C72
"If the Billing Provider first name (or organization name) (2010AA NM104) contains invalid characters, or is longer in length than 35 characters, the claim will reject.",Loop 2420D (Ordering Provider Name) is used. It should not be used when loop 2010AA is used with the same information. Loop [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.d,15,35%,0x3938C72
"If the Billing Provider Type field (2010AA NM102) contains ""2"" (non-person entity), and the Billing Provider Middle name (2010AA NM105) is present, the claim will reject.
If the Billing Provider Middle name (2010AA NM105) is present, and contains invalid characters, the claim will reject.
If the Billing Provider Middle name (2010AA NM105) is present, and contains more than 25 characters, the claim will reject.
If this is a Medicare or MediPak Advantage claim, and the Billing Provider Middle name (2010AA NM105) is present and contains a non-alpha character in first position, the claim will reject.",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,16,37%,0x3938B78
"If the Billing Provider Type field (2010AA NM102) contains ""2"" (non-person entity), and the Billing Provider Suffix (2010AA NM107) is present, the claim will reject.
If the Billing Provider Suffix (2010AA NM107) is present, and contains invalid characters, the claim will reject.
If the Billing Provider Suffix (2010AA NM107) is present, and contains more than 10 characters, the claim will reject.",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,17,39%,0x3938B78
"Providers who ""opt-out"" of the Medicare program cannot receive payment for services rendered to Medi-Pak Advantage members.",Value of element DTM02 (Claim Received Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date.,18,29%,0x3939388
2017086051 - rmt - 04/20/2017 - AHIN will no longer process Medi-Pak Advantage claims with date of service prior to 1/1/2016. ,Value of element DTP03 is incorrect. Segment DTP (Date - Onset of Current Illness or Symptom) should not be used with the same value as in segment DTP (Date - Service Date). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq],19,45%,0x393941D
"If BA is payer and it's a paper claim, do not edit
if payto_prvtype (flag from SP) is 'F' (facility) && payto_type_cd (flag from SP) is 'H' (hospital), 'A' (ambulatory surgery), or 'T' (home infusion) then the claim will error because Professional services cannot be submitted with a hospital/facility payto/billing NPI",Segment DTP (Date - Acute Manifestation) is used. It is not expected to be used when claim does not have CR208 as 'A' or 'M'. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Cou,20,28%,0x3938B7B
RN First Assistant specialty is not accepted.,Element NM105 is used. It is not expected to be used when for Primary or Required Alternate Search Options.,21,43%,0x3939316
Licensed Professional Counselors and Licensed Professional Examiners are not eligible to treat Medicare/MPA members.,Value of element DTP01 is incorrect. Value '349' may not be used when DTP01 in loop 2000 is '357' (termination dates are not to be sent at both the HD and the INS levels for a particular occurrence of loop 2000).,22,29%,0x3939452
Billing Provider Address (2010AA N301) is required.  Billing Provider Address (2010AA N301) must contain valid characters and cannot exceed 55 characters in length.  Billing Provider Address (2010AA N301) cannot contain a Post Office box address.,Segment PRV (Billing Provider Specialty Information) is used. It cannot be used when every claim has one of the following loops - 2310B or 2310D.,23,35%,0x3938B81
